ORDER_ID,ORDER_DATE,REGION,PRODUCT,QUANTITY,UNIT_PRICE,STATUS
1025,2026-07-03,NORTH,WIDGET,1,9.99,NEW
1026,2026-07-03,EAST,GIZMO,2,14.25,SHIPPED
1027,2026-07-03,SOUTH,GADGET,4,24.50,SHIPPED
1028,2026-07-03,WEST,WIDGET,3,9.99,SHIPPED
1029,2026-07-03,NORTH,GADGET,1,24.50,NEW
1030,2026-07-03,EAST,WIDGET,2,9.99,SHIPPED
1031,2026-07-03,SOUTH,GIZMO,5,14.25,CANCELLED
1032,2026-07-03,WEST,GADGET,2,24.50,SHIPPED
1033,2026-07-03,NORTH,GIZMO,3,14.25,SHIPPED
1034,2026-07-03,EAST,WIDGET,1,9.99,SHIPPED
1035,2026-07-03,WEST
BADROW
